Purchase Frequency,Total Purchase Value,Promotional Content Clicked,Discount Sensitivity,Average Cart Size,Preferred Product Category,Session Duration,Returns Frequency,Loyalty Program Member,Monthly Income,Customer Review Count,Customer Sentiment,Average Product Price,Cart Abandonment Rate,Last Purchase Recency,Preferred Brands,Purchase Likelihood
5,3684.330892,Yes,0.07,8,Clothing,10.61010128,0,Yes,>=50k,43,Neutral,1260.472193,0.84,139,Mixed,0
2,6709.050454,No,0.98,4,Groceries,12.53431037,2,No,>=50k,48,Neutral,2231.75578,0.95,19,Brand C,1
18,2816.132199,Yes,0.96,8,Electronics,22.95750415,1,Yes,<50k,28,Positive,1345.538652,0.06,29,Mixed,1
14,6780.495002,Yes,0.06,5,Home Decor,20.32043781,2,Yes,>=50k,47,Positive,1236.989135,0.64,78,Brand B,1
4,5343.67868,Yes,0.44,5,Electronics,9.430009921,2,No,<50k,37,Positive,1617.673468,0.96,127,Brand A,0
9,6106.50244,Yes,0.19,3,Clothing,18.3772332,3,No,>=50k,5,Positive,1695.759537,0.61,84,Brand C,1
6,2648.810789,No,0.49,7,Clothing,19.16201501,2,No,<50k,49,Positive,986.413796,0.8,63,Mixed,1
16,3209.860315,No,0.83,9,Clothing,15.97877048,1,Yes,<50k,33,Negative,335.7740791,0.12,17,Brand B,1
6,6194.456437,No,0.95,9,Home Decor,9.134025353,0,Yes,<50k,7,Neutral,922.5552734,0.24,31,Mixed,0
11,3103.303992,Yes,0.63,1,Home Decor,12.02247803,4,No,<50k,45,Positive,1290.005802,0.35,146,Mixed,0
16,5926.412584,Yes,0.35,1,Electronics,11.86019057,2,No,>=50k,1,Positive,827.7210442,0.98,93,Brand B,0
12,2265.724387,Yes,0.6,5,Clothing,17.64454504,2,No,>=50k,25,Positive,884.0956948,0.78,32,Brand A,1
19,6696.348425,No,0.31,1,Electronics,12.85281852,3,Yes,>=50k,16,Neutral,1809.216029,0.89,149,Brand B,1
3,2534.95337,No,0.91,4,Home Decor,13.67600159,3,No,>=50k,23,Positive,1392.814358,0.49,108,Mixed,0
9,6104.599875,No,0.87,1,Groceries,11.99002734,2,No,<50k,30,Positive,1295.298267,0.72,156,Brand A,1
2,6251.261867,Yes,0.56,2,Electronics,7.20774575,2,Yes,<50k,15,Positive,482.2326133,0.73,3,Brand C,1
8,3606.456363,Yes,0.32,2,Electronics,27.97548227,1,No,>=50k,49,Negative,877.2207075,0.57,177,Brand C,1
12,6164.053134,Yes,0.29,4,Electronics,17.01395811,0,Yes,<50k,20,Positive,1191.345672,0.88,99,Brand A,0
17,5520.884527,Yes,0.03,8,Groceries,22.36006529,0,Yes,<50k,37,Neutral,1326.095047,0.16,121,Brand B,0
14,3922.316288,Yes,0.82,2,Groceries,9.421974525,4,Yes,<50k,25,Positive,1794.011515,0.06,131,Brand B,1
3,2982.890632,No,0.45,9,Clothing,22.59357263,0,No,<50k,16,Positive,1334.680807,0.3,4,Mixed,0
14,1074.748617,Yes,0.33,9,Clothing,13.01763093,4,Yes,<50k,49,Positive,730.3140186,0.09,166,Brand C,1
1,5699.300095,Yes,0.47,2,Electronics,17.65137307,3,No,<50k,45,Neutral,1940.525885,0.06,56,Mixed,0
14,1870.394457,Yes,0.82,1,Clothing,19.95875118,4,Yes,<50k,41,Positive,861.2098089,0.42,30,Brand A,1
7,5190.688399,No,0.12,9,Home Decor,22.5547184,4,Yes,<50k,3,Neutral,1458.185395,0.2,6,Brand A,1
7,4473.103568,Yes,0.86,2,Clothing,14.76810462,0,Yes,>=50k,49,Positive,711.8731458,0.79,11,Mixed,0
16,6358.285551,No,0.9,8,Groceries,9.978270465,2,No,>=50k,42,Positive,611.4568935,0.58,9,Brand B,0
11,4395.909001,No,0.95,3,Clothing,14.92613037,3,Yes,<50k,47,Neutral,322.6595766,0.36,156,Brand A,1
18,4341.104427,Yes,0.4,1,Electronics,17.95523932,1,Yes,>=50k,3,Positive,358.0443664,0.29,140,Brand A,1
9,6463.741409,No,0.22,1,Home Decor,12.32059861,4,Yes,<50k,18,Positive,762.6759772,0.56,126,Brand B,1
8,5670.116058,Yes,0.37,2,Clothing,12.88445282,4,Yes,<50k,37,Positive,1653.965669,0.43,158,Brand A,0
4,5632.311914,Yes,0.33,7,Groceries,7.258633521,4,Yes,>=50k,24,Positive,1131.415343,0.06,136,Brand B,1
5,5938.53518,No,0.18,6,Clothing,10.10917425,2,Yes,>=50k,7,Positive,111.4754621,0.67,178,Brand C,0
19,1928.855754,No,0.61,2,Clothing,17.22149308,1,Yes,<50k,17,Positive,1415.27771,0.5,87,Brand B,1
1,6513.57736,Yes,0.48,4,Home Decor,19.40971267,0,No,>=50k,17,Positive,997.7829945,0.28,143,Mixed,1
12,6224.937588,Yes,0.87,2,Clothing,20.50878032,3,Yes,>=50k,47,Positive,1758.275331,0.29,10,Brand A,0
5,2966.633743,Yes,0.03,1,Clothing,26.37977342,2,No,<50k,6,Negative,754.1120457,0.45,163,Brand B,1
4,4511.839053,Yes,0.64,3,Groceries,22.44081547,1,Yes,>=50k,16,Positive,547.545251,0.83,0,Brand A,1
0,4921.385425,Yes,0.76,4,Clothing,14.23989507,3,Yes,<50k,2,Negative,1866.482053,0.42,20,Mixed,1
5,4731.006431,Yes,0.76,5,Electronics,10.32161078,0,No,>=50k,21,Positive,1501.737953,0.84,171,Mixed,0
5,5667.719933,Yes,0.89,5,Groceries,13.71927145,3,No,<50k,14,Neutral,145.0586334,0.42,99,Brand B,1
15,7862.733564,No,0.73,7,Electronics,12.24420274,4,No,<50k,30,Negative,1180.490432,0.83,164,Brand B,0
3,7163.533455,Yes,0.93,8,Electronics,15.82941538,4,Yes,<50k,35,Negative,146.2351008,0.93,5,Brand A,1
10,2375.561613,Yes,0.33,9,Clothing,19.45471487,2,No,<50k,25,Negative,1477.728713,0.02,141,Mixed,1
8,6244.139981,Yes,0.5,7,Electronics,17.39882932,3,No,<50k,47,Positive,443.3381502,0.06,92,Brand C,1
2,7657.866639,No,0.01,5,Groceries,22.87977651,4,No,>=50k,13,Positive,373.0794565,0.13,128,Mixed,0
18,5773.617041,Yes,0.01,9,Clothing,16.97762968,2,No,<50k,16,Negative,1693.741295,0.12,135,Brand A,1
7,7181.96085,Yes,0.24,8,Clothing,8.622010292,2,Yes,>=50k,8,Positive,1206.854976,0.45,110,Brand B,0
4,9024.540891,Yes,0.1,9,Electronics,12.15003975,2,Yes,<50k,6,Positive,1367.935216,0.76,43,Brand C,1
3,7047.419092,No,0.26,8,Electronics,17.01287594,0,No,<50k,45,Positive,757.9743089,0.96,122,Mixed,1
5,5498.617191,Yes,0.18,6,Home Decor,16.14334835,4,Yes,<50k,26,Positive,959.5730454,0.42,86,Brand B,0
1,7090.176948,No,0.03,4,Clothing,21.54126215,4,No,>=50k,27,Negative,1783.916278,0.69,102,Brand B,0
19,5289.775666,No,0.91,9,Home Decor,15.0351907,1,Yes,>=50k,11,Positive,1160.353441,0.64,104,Mixed,1
10,5047.806087,No,0.01,9,Electronics,14.11798595,0,No,<50k,16,Positive,2165.064508,0.39,74,Brand A,0
3,4297.171529,No,0.74,9,Home Decor,7.130086682,4,Yes,<50k,8,Neutral,902.1030017,0.72,154,Brand B,1
14,8126.826718,Yes,0.15,3,Electronics,10.96638545,4,Yes,<50k,43,Positive,1479.813565,0.59,35,Brand B,1
5,3363.142668,Yes,0.91,3,Clothing,16.54386097,1,No,<50k,43,Positive,1554.706743,0.76,169,Brand A,0
16,8064.735449,No,0.89,6,Home Decor,16.04826923,3,Yes,>=50k,7,Neutral,1098.496114,0.19,147,Brand B,1
5,5999.728247,Yes,0.65,6,Electronics,17.97443252,3,Yes,<50k,26,Positive,1681.142802,0.36,7,Brand C,1
18,2201.38765,Yes,0.67,6,Clothing,17.25289983,0,Yes,>=50k,41,Neutral,732.3660771,0.67,45,Brand B,1
1,5735.298586,No,0.01,5,Electronics,14.43315052,2,No,>=50k,11,Positive,1431.250611,0.12,99,Brand B,1
14,799.9469847,Yes,0.98,5,Clothing,9.991525495,1,No,>=50k,36,Positive,480.3168459,0.77,51,Brand C,1
10,6251.016034,Yes,0.88,2,Home Decor,15.00286103,1,No,<50k,19,Positive,368.0763242,0.13,25,Mixed,0
7,6770.462966,Yes,0.9,7,Electronics,14.77877335,4,No,>=50k,0,Negative,1019.678219,0.32,34,Brand C,1
18,3815.288089,Yes,0.66,4,Groceries,21.85910852,4,Yes,<50k,8,Neutral,935.6320753,0.24,130,Mixed,0
12,5247.095392,No,0.34,3,Clothing,21.64093357,1,Yes,>=50k,46,Neutral,446.2668033,0.06,122,Mixed,0
11,8908.314868,Yes,0.89,8,Groceries,12.6061032,2,Yes,>=50k,23,Negative,1382.506975,0.27,131,Mixed,0
4,3988.506591,Yes,0.29,4,Electronics,11.89039069,3,No,<50k,33,Positive,1780.770782,0.91,61,Mixed,1
5,2882.184826,Yes,0.56,4,Groceries,8.231578811,0,No,>=50k,35,Neutral,838.1091339,0.03,63,Brand C,1
3,7963.326805,No,0.1,8,Electronics,14.17556032,3,Yes,<50k,3,Neutral,1520.460401,0.02,177,Brand C,1
18,8925.174381,No,0.92,1,Clothing,12.62896404,0,Yes,<50k,28,Positive,682.5990362,0.7,146,Brand C,1
19,5007.391344,Yes,0.14,9,Groceries,28.03663298,2,Yes,>=50k,22,Neutral,900.2528005,0.37,170,Mixed,1
0,7022.926071,No,0.22,7,Electronics,9.423103198,1,Yes,<50k,34,Neutral,975.4491266,0.23,81,Brand C,1
19,7682.951831,Yes,0.56,2,Electronics,15.29290494,2,Yes,<50k,15,Negative,1416.918512,0.51,13,Brand C,1
16,3515.031535,No,0.76,6,Home Decor,11.78569646,1,Yes,<50k,7,Positive,959.1779951,0.27,13,Brand A,1
11,4029.388329,Yes,0.62,8,Clothing,15.12308528,4,Yes,<50k,26,Neutral,100,0.39,53,Mixed,1
14,7461.749026,No,0.23,5,Clothing,13.33301912,0,No,<50k,38,Positive,1599.816615,0.72,156,Brand B,0
0,8370.028557,Yes,0,6,Electronics,19.05748511,4,Yes,>=50k,11,Negative,1056.902871,0.12,130,Brand A,1
13,6125.76172,Yes,0.76,8,Home Decor,17.20159061,1,No,>=50k,43,Positive,100,0.96,97,Brand C,1
5,3240.371293,Yes,0.99,6,Electronics,18.89032547,0,Yes,<50k,3,Neutral,1710.293085,0.04,103,Brand B,1
4,8974.122223,No,0.81,9,Groceries,11.23998247,0,No,>=50k,46,Positive,1736.985404,0.81,4,Brand A,0
10,3938.058204,Yes,0.46,9,Home Decor,20.396516,4,Yes,>=50k,24,Negative,460.5444525,0.72,4,Brand A,1
3,4329.724438,No,0.9,9,Home Decor,12.59149849,0,No,<50k,5,Positive,290.9962235,0.28,116,Brand A,1
12,5684.675669,Yes,0.41,6,Electronics,7.968764477,1,Yes,<50k,2,Negative,1571.401256,0.12,44,Brand A,1
10,8108.320841,Yes,0.52,9,Groceries,14.09054805,1,Yes,>=50k,38,Neutral,1572.235439,0.85,170,Brand B,1
2,6707.951953,Yes,0.48,3,Clothing,15.56682764,4,No,>=50k,23,Neutral,1240.994954,0.68,170,Mixed,1
0,5829.731001,No,0.45,5,Groceries,8.751293411,2,No,<50k,20,Positive,777.2949226,0.29,115,Brand B,1
5,5926.57706,Yes,0.78,2,Electronics,19.36797827,1,Yes,>=50k,5,Positive,604.0911,0.02,50,Brand C,1
17,5087.029337,No,0.53,8,Home Decor,10.9441994,1,Yes,<50k,32,Positive,1300.02,0.94,12,Mixed,1
9,6116.279029,No,0.32,4,Clothing,10.73021085,0,Yes,<50k,7,Positive,679.5350652,0.4,72,Brand B,0
4,500,No,0.26,6,Electronics,14.99979577,0,No,<50k,32,Neutral,682.4416812,0.18,67,Brand C,1
9,4406.785082,Yes,0.04,6,Clothing,19.28651895,1,No,<50k,47,Neutral,1391.923263,0.91,68,Brand B,0
11,5482.64387,No,0.58,5,Electronics,8.920883488,4,Yes,>=50k,2,Positive,1491.234599,0.36,134,Brand C,1
1,2697.971833,No,0.23,1,Clothing,19.70314135,2,Yes,>=50k,1,Positive,1750.423143,0.46,91,Brand A,1
12,5772.646636,Yes,0.15,7,Clothing,5,0,Yes,<50k,37,Negative,100,0.7,103,Mixed,0
7,4591.057558,No,0.65,8,Clothing,16.65333982,0,Yes,<50k,39,Positive,750.5869529,0.82,77,Brand A,1
1,8510.951397,Yes,0.68,1,Home Decor,9.351529156,2,No,>=50k,38,Positive,829.1296616,0.1,169,Brand B,1
19,8146.03945,Yes,0.75,7,Clothing,11.0072469,0,No,>=50k,38,Positive,990.9744919,0.9,101,Brand A,1
0,4068.388862,Yes,0.5,4,Electronics,23.68943758,4,No,<50k,23,Positive,364.0655347,0.93,4,Brand C,0
4,4698.324577,Yes,0.89,6,Home Decor,10.05918684,0,Yes,>=50k,20,Positive,1283.603716,0.26,174,Brand B,0
8,4852.104869,Yes,0.94,9,Groceries,14.71878199,0,No,>=50k,17,Neutral,1944.6652,0.5,47,Brand B,1
16,4096.681048,Yes,0.81,5,Clothing,9.666444463,1,Yes,<50k,34,Positive,403.8319129,0.86,122,Brand A,1
8,5390.049968,No,0.64,8,Electronics,18.84594408,4,No,>=50k,10,Neutral,1094.254582,0.49,91,Brand A,1
10,3483.435862,Yes,0.3,5,Clothing,17.04471383,4,No,>=50k,10,Negative,1627.47809,0.48,174,Brand C,1
14,2738.76933,Yes,0.98,2,Home Decor,17.74900931,1,No,<50k,2,Negative,881.1688528,0.62,135,Brand A,1
5,6245.422448,Yes,0.27,4,Home Decor,20.65434679,3,Yes,<50k,22,Positive,633.3631082,0.77,148,Brand C,1
2,6259.059168,Yes,0.2,2,Home Decor,13.31095114,2,Yes,>=50k,0,Positive,1089.111452,0.67,87,Brand B,1
16,3391.368481,No,0.44,7,Electronics,20.37253785,4,No,<50k,22,Positive,1366.886713,0.63,117,Brand A,1
4,6790.710862,Yes,0.06,7,Groceries,22.44953041,3,Yes,<50k,21,Negative,368.2691546,0.37,23,Brand A,1
11,3736.844542,No,0.98,3,Clothing,16.42222669,2,No,<50k,41,Neutral,1518.14745,0.63,140,Mixed,0
17,5506.330476,Yes,0.59,7,Electronics,9.468581878,4,Yes,>=50k,29,Neutral,893.7507152,0.1,112,Brand C,1
13,6640.688025,No,0.56,1,Electronics,8.975211181,0,Yes,>=50k,1,Positive,666.4160969,0.41,142,Brand A,1
10,4932.774871,Yes,0.66,1,Clothing,17.21136815,4,Yes,<50k,16,Positive,233.3520735,0.19,109,Brand C,1
8,5909.481824,Yes,0.5,9,Home Decor,9.465375835,2,Yes,<50k,40,Positive,673.4791685,0.54,88,Mixed,0
1,3967.140712,No,0.03,6,Home Decor,8.283016052,3,No,<50k,49,Positive,696.5539956,0.26,108,Brand B,0
11,4607.066833,Yes,0.61,5,Groceries,19.41871006,0,No,<50k,19,Positive,402.4911819,0.51,52,Brand B,1
2,4588.281138,No,0.72,6,Electronics,12.70601175,2,No,<50k,8,Neutral,1236.824447,0.78,158,Brand A,1
2,3506.843307,No,0.42,6,Groceries,27.09700078,2,Yes,>=50k,10,Positive,1073.529554,0.43,50,Brand A,1
0,4646.451674,Yes,0.76,1,Home Decor,11.71267153,4,Yes,<50k,16,Neutral,1490.387013,0.22,174,Brand B,1
7,1902.763402,Yes,0.23,5,Clothing,12.51320673,1,No,<50k,13,Positive,1357.404593,0.22,166,Brand C,0
7,4017.692506,Yes,0.22,9,Groceries,16.7960585,1,Yes,<50k,17,Positive,679.9112065,0.91,116,Brand B,1
10,4430.249013,No,0.16,4,Home Decor,16.02282528,0,No,>=50k,17,Negative,842.9683549,0.78,56,Brand B,1
8,4487.640495,No,0.37,3,Clothing,14.57907364,2,Yes,<50k,43,Positive,627.2828651,0.04,177,Brand B,1
4,4517.005108,Yes,0.85,1,Groceries,14.46018484,3,No,<50k,49,Neutral,201.747964,0.94,114,Brand B,1
13,4876.4716,Yes,0.83,2,Home Decor,31.21416036,0,No,>=50k,7,Neutral,1191.828068,0.11,56,Brand B,1
2,5958.883036,Yes,0.38,3,Home Decor,23.30385429,0,Yes,<50k,28,Negative,1082.903976,0.65,34,Brand C,1
4,6749.034148,No,0.59,4,Groceries,19.21761885,4,No,<50k,7,Neutral,695.8694207,0.55,85,Brand A,1
4,3700.469546,Yes,0.72,7,Clothing,8.872899009,3,No,<50k,25,Positive,1402.67734,0.05,134,Mixed,0
18,2593.598289,Yes,0.24,6,Home Decor,14.63044639,2,No,>=50k,27,Positive,830.1687152,0.3,52,Brand A,0
13,2915.911176,No,0.17,8,Home Decor,18.30272145,2,Yes,>=50k,7,Neutral,1616.374941,0.78,9,Brand C,0
3,4025.594158,Yes,0.97,9,Clothing,18.74109558,2,Yes,<50k,19,Positive,922.7163858,0.31,38,Brand B,1
12,4296.157364,Yes,0.62,6,Electronics,21.38803691,0,No,<50k,46,Positive,352.6317541,0.48,162,Brand C,0
9,3460.007868,No,0.98,7,Home Decor,11.79423584,4,No,<50k,7,Positive,1761.266519,0.7,126,Mixed,0
17,2407.766672,No,0.34,4,Electronics,14.80732036,0,No,<50k,13,Positive,1182.713557,0.07,58,Brand A,1
7,4087.758345,Yes,0.7,2,Home Decor,11.22492557,1,No,>=50k,12,Negative,526.6626921,0.83,116,Brand C,0
7,5362.85324,Yes,0.22,9,Groceries,21.67373429,1,Yes,<50k,39,Positive,798.8521206,0.04,149,Brand A,0
6,6190.058932,Yes,0.26,9,Clothing,18.49413543,2,No,<50k,16,Positive,585.2323578,0.26,136,Brand A,0
7,3885.153894,Yes,0.51,4,Electronics,12.46328773,4,Yes,<50k,25,Positive,1495.611091,0.76,99,Mixed,0
13,4174.004356,No,0.32,3,Electronics,16.12438948,2,No,<50k,5,Positive,100,0.91,7,Brand A,0
18,3146.603382,Yes,0.17,6,Clothing,15.25154701,2,Yes,<50k,16,Neutral,1139.148023,0.76,119,Brand A,0
5,4937.121659,No,0.26,3,Groceries,10.60033996,0,Yes,<50k,3,Negative,141.0144167,0.23,57,Brand A,0
0,3303.142732,No,0.04,1,Clothing,19.65083114,2,Yes,>=50k,24,Positive,100,0.99,126,Brand B,1
14,6146.255626,Yes,0.7,4,Electronics,15.38487713,2,No,>=50k,6,Positive,1205.274865,0.41,94,Mixed,1
0,1428.267016,Yes,0.49,1,Home Decor,12.35339939,4,No,>=50k,16,Positive,394.7499825,0.38,149,Brand A,1
16,4280.740655,Yes,0.09,2,Home Decor,10.51445299,4,No,<50k,21,Positive,1348.632273,0.87,94,Brand B,0
0,5602.214678,No,0.17,3,Clothing,19.2729818,4,Yes,>=50k,27,Neutral,1482.070475,0.07,167,Brand B,0
14,5367.669033,No,0.1,8,Home Decor,16.34070683,2,Yes,<50k,49,Positive,776.4609915,0.56,155,Brand B,1
1,10386.06733,Yes,0.61,4,Clothing,11.52673218,4,No,<50k,5,Positive,1244.294049,0.97,173,Brand B,1
13,5699.600049,No,0.09,4,Home Decor,12.51082335,4,Yes,<50k,29,Neutral,1736.796296,0.1,68,Brand B,1
7,2991.890806,Yes,0.75,9,Clothing,15.02760031,3,No,>=50k,9,Neutral,520.8106638,0.54,51,Brand B,0
7,4809.071506,No,0.02,7,Electronics,15.31905194,3,No,<50k,49,Negative,1430.821848,0.13,10,Mixed,1
18,1447.507333,Yes,0.25,2,Groceries,15.9602721,1,Yes,<50k,38,Negative,611.0201903,0.89,149,Brand A,0
6,4838.800501,Yes,0.89,3,Clothing,6.154049389,0,No,<50k,13,Positive,1001.707973,0.59,46,Brand A,1
18,3333.887886,No,0.72,4,Electronics,15.60206243,0,No,<50k,45,Positive,688.7125651,0.23,88,Mixed,0
5,6830.780551,Yes,0.07,4,Groceries,8.904246295,4,No,<50k,41,Negative,707.2037536,0.31,12,Brand C,1
5,3900.919451,Yes,0.82,8,Home Decor,22.09502098,1,No,<50k,21,Positive,820.1947201,0.52,125,Mixed,0
2,4766.468168,Yes,0.49,6,Electronics,20.21463163,1,No,<50k,40,Positive,700.4220398,0.73,99,Brand C,1
6,3728.884317,Yes,0.85,3,Home Decor,20.78365208,3,Yes,<50k,25,Neutral,934.3330227,0.49,117,Brand B,1
18,8477.702704,Yes,0.6,9,Groceries,5,1,Yes,<50k,9,Negative,1584.312846,0.19,172,Brand C,1
7,4357.514468,No,0.68,8,Home Decor,13.50409084,2,Yes,<50k,1,Positive,311.3032679,0.71,74,Brand A,1
9,8665.114087,Yes,0.99,9,Electronics,14.60996269,4,Yes,<50k,2,Positive,1214.286366,0.12,68,Brand C,0
19,6628.303524,Yes,0.23,5,Home Decor,17.87498239,2,Yes,<50k,47,Negative,460.803392,0.81,120,Brand B,0
14,5964.133455,No,0.62,3,Home Decor,19.50437281,0,Yes,<50k,41,Positive,491.3551392,0.4,77,Mixed,1
14,5737.466295,Yes,0.46,4,Groceries,21.4231282,3,No,>=50k,10,Positive,100,0.65,21,Brand C,0
0,5787.594596,Yes,0.04,5,Electronics,5,2,No,<50k,9,Neutral,1538.243075,0.34,162,Brand A,0
19,1144.654841,No,0.01,9,Home Decor,10.99349759,4,Yes,<50k,11,Positive,879.3415755,0.67,159,Brand B,1
6,4442.233212,No,0.12,9,Electronics,15.28899419,2,Yes,<50k,13,Positive,550.4896583,0.89,165,Brand A,0
3,6690.315942,No,0.65,3,Home Decor,19.14749524,2,Yes,>=50k,29,Positive,1064.884547,0.7,57,Brand C,1
5,4902.205633,No,0.57,7,Groceries,19.00905858,1,Yes,<50k,40,Neutral,825.5108762,0.67,167,Brand B,1
0,2189.620306,Yes,0.55,6,Electronics,17.37451246,3,Yes,<50k,12,Neutral,1550.668518,0.76,20,Brand B,1
4,4895.191099,No,0.03,4,Clothing,11.81469579,0,No,<50k,29,Neutral,491.0837111,0.5,48,Mixed,1
0,8408.211033,Yes,0.47,5,Clothing,12.45099655,4,No,<50k,37,Positive,929.3120062,0.22,96,Mixed,1
3,7493.783431,No,0.92,2,Home Decor,11.85275598,4,No,<50k,10,Neutral,1425.218956,0.82,91,Mixed,0
1,4875.991981,Yes,0.4,7,Clothing,10.09473235,0,Yes,<50k,0,Neutral,467.2853735,0.65,38,Brand A,1
9,6902.898554,No,0.62,4,Home Decor,10.0247093,4,Yes,<50k,26,Positive,769.3647648,0.31,99,Brand C,1
4,4266.985959,No,0.78,2,Groceries,9.546533776,1,Yes,>=50k,46,Positive,361.1971127,0.28,9,Mixed,0
9,1592.256826,No,0.78,6,Home Decor,16.67975069,2,No,<50k,38,Neutral,565.8210134,0.5,167,Brand B,1
0,3151.068024,Yes,0.52,2,Home Decor,15.62165242,1,No,<50k,42,Neutral,222.8726479,0.21,57,Brand A,1
5,8125.777537,Yes,0.86,2,Clothing,10.36606633,1,Yes,>=50k,48,Neutral,469.6811938,0.88,88,Mixed,1
12,4452.013836,No,0.39,7,Groceries,6.442586724,1,No,<50k,36,Positive,345.1862632,0.79,172,Mixed,1
14,4513.232041,No,0.89,1,Electronics,13.1533337,0,Yes,>=50k,8,Neutral,666.0627456,0.31,144,Brand C,1
3,4400.323607,Yes,0.24,7,Electronics,22.40027761,3,No,<50k,47,Positive,1486.045281,0.05,120,Brand A,1
12,8808.273179,No,0.28,5,Clothing,15.0302163,0,No,<50k,42,Positive,1139.983569,0.05,67,Brand A,1
19,8251.917831,No,0.05,1,Home Decor,19.00038382,0,Yes,<50k,25,Neutral,1648.568627,0.3,9,Brand C,0
14,9437.560467,Yes,0.8,6,Groceries,15.90022975,1,No,<50k,24,Neutral,806.3502951,0.15,116,Brand B,0
7,4681.909579,No,0.42,7,Electronics,14.70932653,3,Yes,<50k,16,Negative,551.4764321,0.87,61,Brand C,1
4,5591.248977,Yes,0.23,1,Groceries,7.634740559,0,Yes,<50k,5,Neutral,936.3759617,0.42,88,Brand A,0
14,1966.714901,Yes,0.23,9,Groceries,12.966575,3,Yes,<50k,14,Negative,696.2376464,0.35,159,Brand A,1
3,7953.868852,Yes,0.9,7,Clothing,12.3260595,1,Yes,<50k,2,Positive,1205.336834,0.22,71,Brand B,1
11,2664.440897,Yes,0.83,1,Home Decor,22.40609305,0,Yes,>=50k,30,Neutral,247.7414572,0.84,169,Brand A,0
12,5433.551128,No,0.55,3,Electronics,15.91610328,3,No,<50k,27,Neutral,963.8268009,0.79,172,Brand C,1
1,2805.394945,Yes,0.62,5,Electronics,21.38767894,4,Yes,>=50k,8,Positive,1751.877719,0.38,75,Brand B,0
18,3822.266347,No,0.47,4,Groceries,20.63723214,0,Yes,<50k,43,Positive,539.4185122,0.17,148,Brand C,1
18,3325.475138,No,0.39,2,Clothing,10.7704298,0,No,>=50k,17,Positive,779.445174,0.95,108,Brand C,1
3,3784.249479,No,0.92,1,Electronics,15.00579782,0,No,>=50k,47,Neutral,136.4054485,0.32,154,Brand A,1
3,3921.754594,Yes,0.13,4,Home Decor,23.42439299,3,No,>=50k,39,Neutral,1554.69624,0.77,127,Mixed,1
10,3903.46241,No,0.42,7,Groceries,17.81589613,2,No,>=50k,31,Neutral,950.8911883,0.46,157,Brand C,0
4,6666.667824,Yes,0.34,4,Home Decor,17.51359482,0,No,<50k,18,Positive,739.9701438,0.78,73,Brand C,0
19,2790.274414,Yes,0.5,9,Clothing,19.56790541,4,Yes,<50k,4,Neutral,1023.711301,0.48,128,Mixed,1
10,5441.082854,Yes,0.46,8,Clothing,17.40190559,4,No,<50k,43,Neutral,964.487425,0.93,8,Brand A,1
9,7435.918305,Yes,0.52,8,Home Decor,17.73177565,1,Yes,>=50k,5,Positive,649.6003868,0.8,2,Brand B,1
7,3973.607271,No,0.14,5,Electronics,16.51055236,2,Yes,>=50k,11,Negative,297.7005595,0.26,112,Brand A,1
5,3564.162219,Yes,0.51,1,Electronics,13.30121449,2,Yes,<50k,46,Negative,1076.95543,0.43,52,Brand B,1
5,4538.95075,No,0.24,9,Clothing,9.709545379,3,Yes,>=50k,41,Neutral,1007.415502,0.1,169,Brand B,1
7,7359.450417,Yes,0.18,2,Home Decor,5.715243614,1,No,<50k,16,Negative,806.1328556,0.9,146,Brand C,0
14,5388.215262,Yes,0.06,6,Clothing,13.35312452,3,No,<50k,38,Neutral,847.2233362,0.07,5,Brand A,1
13,3937.571411,No,0.76,5,Electronics,17.18302189,1,Yes,<50k,6,Positive,1540.312077,0.02,134,Brand A,1
10,5967.753302,No,0.43,8,Electronics,16.19285546,2,No,>=50k,10,Positive,1145.354365,0.5,170,Brand B,0
11,2795.4157,Yes,0.63,3,Electronics,18.17955709,3,No,>=50k,33,Neutral,337.0121379,0.6,79,Brand A,1
12,6362.719021,Yes,0.73,6,Electronics,14.36978166,1,Yes,<50k,1,Positive,1644.685441,0.22,35,Brand C,1
7,5817.214615,Yes,0.68,6,Clothing,28.61000047,2,No,<50k,13,Positive,1340.374171,0.57,95,Brand C,1
17,4384.383058,Yes,0.47,3,Clothing,25.13628605,2,Yes,<50k,17,Positive,1304.619706,0.9,38,Brand B,1
0,3322.828403,No,0.39,7,Clothing,7.412023963,0,No,<50k,47,Positive,603.3776729,0.63,42,Brand A,0
14,3226.638155,No,0.38,4,Clothing,18.282544,3,Yes,<50k,42,Neutral,1426.904498,0.46,164,Brand A,1
7,6069.634673,Yes,0.64,5,Electronics,19.84387713,0,No,<50k,8,Neutral,1090.266575,0.14,155,Brand C,1
10,7457.961005,No,0.49,9,Clothing,5,2,No,>=50k,38,Negative,419.1826521,0.17,49,Mixed,1
11,3725.384506,Yes,0.85,6,Electronics,15.83442095,3,No,<50k,3,Neutral,1143.906067,0.48,38,Brand B,1
11,5916.773407,Yes,0.87,4,Electronics,17.58457577,3,Yes,>=50k,47,Positive,1475.935492,0.46,129,Mixed,1
3,825.9459628,Yes,0.17,8,Electronics,14.97189153,4,Yes,<50k,13,Positive,1284.083561,0.52,124,Mixed,1
15,3830.764539,No,0.14,9,Groceries,16.92986887,1,Yes,<50k,10,Neutral,100.0349453,0.51,164,Brand A,1
