balance,balance_frequency,purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,credit_limit,payments,prc_full_payment,tenure
49.02,1,480.27,480.27,0,1,0,1,2500,636.77,0.43,12
5022.78,1,2117.05,170,0,0.83,0.82,0.17,7000,1588.79,0,12
2.45,0.78,37.75,37.75,0,0.08,0,0.08,4000,426.04,0.43,12
39.98,0.78,432.05,0,0,0.2,0.2,0,10000,1282.53,0,12
247.06,1,1448.74,1210.37,0,1,0,1,5000,1313.82,0,12
1327.78,1,534.93,534.93,114.67,1,0,1,1500,578.74,0,12
2372.84,1,218,0,0,0.33,0.33,0,6500,529.81,0,12
2705.15,1,328.61,80.66,2830.97,0.33,0.25,0.08,7000,4250.02,0.08,12
92.78,0.78,921.82,0,0,0.1,0.1,0,1200,4250.02,0,12
4.4,0.78,76,0,0,0.08,0.08,0,1500,307.87,0,12
5040.84,1,0,0,2830.97,0,0,0,12000,2202.13,0,12
156.54,1,1903.66,115.58,0,0.83,0.82,0.17,9000,2093.55,0.43,12
233.39,1,2346.94,517.44,0,0.92,0.75,0.75,4500,2029.21,0.43,12
3597.73,1,1043,1043,836.72,0.58,0,0.5,6000,1222.77,0,12
2.55,0.78,322.98,0,0,0.17,0.17,0,9500,1210.43,0,12
5040.84,1,2743.66,0,2638.89,0.75,0.75,0,10500,1251.78,0,12
1592.17,1,0,0,2830.97,0,0,0,4500,4250.02,0.17,12
599.04,1,2799.9,1210.37,0,1,0.82,1,12000,4250.02,0.43,12
5.8,0.78,88.97,55.97,0,0.17,0.08,0.08,2720,620.2,0.43,12
31.88,0.91,311.05,0,0,0.92,0.82,0,6000,320.18,0.43,12
41.62,1,689.4,0,0,1,0.82,0,10000,718.16,0.43,12
408.73,0.78,0,0,2830.97,0,0,0,5000,4250.02,0.43,12
5.26,0.78,263.16,263.16,0,0.42,0,0.33,6000,385.11,0.2,12
238.18,0.78,2068.15,1210.37,0,0.88,0,0.75,4000,2143.22,0.43,12
3437.03,1,1858.7,0,2830.97,0.58,0.58,0,9000,4250.02,0,12
341.47,1,2799.9,615.34,0,1,0.82,0.33,10500,3273.24,0.43,12
2500.03,1,1103.5,0,804.72,0.33,0.33,0,8500,617.47,0,12
5040.84,1,0,0,2436.2,0,0,0,11500,2480.09,0,12
1037.65,1,584.4,584.4,0,1,0,1,1200,572.91,0,12
1134.73,1,0,0,19.56,0,0,0,1200,78.6,0,12
1564.18,1,942.22,168.62,397.71,1,0.5,1,2200,2852.58,0,12
55.58,0.82,395.05,245,0,0.42,0.25,0.17,5500,531.95,0.11,12
61.11,1,438.8,438.8,0,1,0,0.9,1500,367.59,0.43,12
5.34,0.78,35.97,0,0,0.08,0.08,0,2000,83.09,0,12
2593.12,1,0,0,2830.97,0,0,0,6000,2420.93,0,12
12.41,0.78,85.5,0,0,0.1,0.1,0,1500,414.01,0,12
1548.22,1,696.63,0,0,0.08,0.08,0,1800,588.33,0,12
1547.15,1,0,0,39.35,0,0,0,1700,438.45,0,12
527.97,1,2799.9,1210.37,0,1,0.58,1,7000,2823.31,0.43,12
998.23,1,1622.23,749.97,0,1,0.82,0.92,2500,987.09,0,12
5040.84,1,2799.9,1210.37,1992.39,1,0.82,1,6000,2044.05,0,12
395.82,0.89,37,37,0,0.11,0,0.11,2500,243.5,0,12
1739.67,1,0,0,2830.97,0,0,0,4500,4250.02,0.08,12
1382.17,1,0,0,190.77,0,0,0,1500,598.97,0,12
11.05,0.78,180.5,180.5,0,0.5,0,0.33,4000,269.95,0.43,12
1121.83,1,2799.9,1210.37,0,1,0.08,0.92,3500,1279.46,0.3,12
1222.08,1,1492.21,769.3,0,1,0.5,0.92,7000,1409.16,0,12
3850.21,1,2434.5,62.4,2830.97,0.5,0.33,0.17,9000,4250.02,0,12
51.64,0.78,434.72,335.72,0,0.58,0.08,0.58,4500,998.96,0.43,12
621.39,0.78,178.83,0,913.39,0.29,0.29,0,1200,96.01,0,12
1096.95,1,227.55,0,0,0.08,0.08,0,2500,397.84,0,12
75.04,0.78,588.05,0,0,0.17,0.17,0,9000,707.39,0,12
939.1,0.78,0,0,2830.97,0,0,0,4000,501.83,0,12
2321.85,1,2675,0,2357.96,0.67,0.67,0,2500,4250.02,0.08,12
4010.62,1,2799.9,1210.37,0,1,0.82,1,13850,4250.02,0.43,12
139.51,1,1247.75,1109.91,404.44,1,0.17,1,5000,2017.65,0.43,12
25.7,0.91,244,244,197.38,1,0,1,7000,383.15,0.33,12
1856.59,1,0,0,2622.29,0,0,0,3000,2356.79,0,12
18.78,0.78,59,0,0,0.17,0.17,0,1200,127.62,0,12
2596.46,1,0,0,1689.71,0,0,0,3000,714.5,0,12
5040.84,1,35.92,35.92,0,0.08,0,0.08,13500,2071.64,0,12
317.66,1,2799.9,0,0,0.92,0.82,0,13850,4028.38,0.43,12
5040.84,1,1483.9,0,2830.97,1,0.82,0,13850,2701.47,0,12
12.01,1,126,126,0,1,0,1,3000,171.84,0.33,12
173.94,0.78,958.5,0,404.99,0.3,0.3,0,13850,3213.85,0.43,12
661.2,0.78,150,0,1344.23,0.08,0.08,0,2500,290.37,0,12
12.66,0.78,2799.9,1210.37,0,1,0.17,1,7350,4086.01,0.08,12
2425.84,1,2799.9,534.14,0,1,0.82,0.42,7000,3871.98,0,12
27.26,1,231,231,0,0.92,0,0.83,5000,174.59,0.18,12
208.19,1,2395.88,879.79,0,1,0.82,0.75,5000,2131.76,0.43,12
12.65,0.78,120,120,0,0.3,0,0.2,4500,291.6,0.43,12
1727.33,1,560.75,392.1,0,0.45,0.18,0.36,2500,509.83,0,12
1727.3,1,719.76,93.23,0,0.58,0.17,0.42,1800,724.44,0,12
801.11,1,2799.9,1210.37,0,1,0.33,0.92,7500,4250.02,0.08,12
144.13,0.78,949.59,677.59,0,0.5,0.25,0.33,4000,999.71,0.1,12
1497.13,1,2571.48,703.56,0,0.83,0.33,0.67,2500,3177.12,0,12
1770.07,1,0,0,781.62,0,0,0,2500,1390.78,0,12
43.12,0.78,491.43,0,0,0.55,0.55,0,2100,714.72,0.43,12
200.97,1,569.68,277.98,0,0.33,0.08,0.25,4000,311.3,0,12
5040.84,1,548.89,0,2830.97,0.17,0.17,0,8500,4250.02,0,12
1469.21,1,220.69,156.6,0,0.45,0.09,0.27,2000,416.17,0,12
80.05,0.78,315,0,0,0.08,0.08,0,300,1054.98,0,12
249.14,1,655.94,432.94,0,0.75,0.08,0.75,10500,907.6,0,12
505.31,1,2799.9,1210.37,298.03,1,0.82,0.92,13850,4250.02,0.43,12
396.42,1,2799.9,0,0,0.92,0.82,0,5000,4250.02,0.43,12
5040.84,1,2761.41,276.76,0,1,0.67,0.67,11000,1919.21,0,12
1790.71,0.78,1368,0,2126.38,0.08,0.08,0,3500,672.61,0,12
2006.22,1,2799.9,1088.13,0,0.5,0.42,0.25,6500,1670.2,0,12
4609.21,1,335,0,0,0.17,0.17,0,6000,4250.02,0.08,12
123.09,1,1150.78,23,0,1,0.82,0.08,13850,1035.03,0.43,12
3950.99,1,699.44,0,444.08,1,0.82,0,4000,994.41,0,12
2628.51,1,273,0,342.87,0.58,0.58,0,7500,4250.02,0,12
31.47,0.78,220.5,0,0,0.08,0.08,0,3750,1199.48,0,12
421.48,1,2218.26,1210.37,0,0.92,0,0.92,4500,2031.74,0,12
5040.84,1,1120.29,155.2,0,0.67,0.58,0.58,6000,2013.62,0,12
2138.19,1,45.65,0,0,0.08,0.08,0,2500,728.89,0,12
275.96,0.78,1943.1,298.31,0,0.33,0.25,0.25,1800,4250.02,0.33,12
2894.35,1,657.71,347.01,2830.97,1,0.17,0.92,3500,3166.77,0,12
15.17,0.78,316.91,0,0,0.67,0.67,0,11000,348.33,0.43,12
541.24,1,2799.9,1210.37,0,1,0.82,1,13850,4250.02,0.43,12
1426.87,1,0,0,98.69,0,0,0,1500,324.97,0,12
373.24,0.91,2799.9,0,0,0.75,0.75,0,6000,4250.02,0.43,12
3892.35,1,2799.9,700.11,1806.06,0.75,0.58,0.33,7500,4250.02,0,12
1172.34,1,454.21,454.21,0,0.92,0,0.92,1000,447.2,0,12
1786.85,1,0,0,2830.97,0,0,0,6000,4203.25,0.17,12
272.7,1,2799.9,778,0,0.83,0.82,0.17,13850,3629.84,0.43,12
68.85,0.78,853.44,249.6,0,0.25,0.17,0.08,11500,789.2,0,12
120.96,1,0,0,916.4,0,0,0,1200,997.77,0.08,12
2415.41,1,2799.9,1210.37,843.74,1,0.67,1,8500,858.81,0,12
50.44,0.78,553.73,0,0,0.5,0.5,0,13000,371.23,0.43,12
1094.22,1,35,0,18.8,0.08,0.08,0,1200,348.09,0,12
2249.73,1,2598.54,657.46,0,1,0.5,1,9000,1152.95,0,12
3007.09,1,0,0,2374.35,0,0,0,3500,878.6,0,12
3143.23,1,255.08,125.56,0,0.42,0.17,0.33,5500,734.83,0,12
1392.81,1,845.51,72.34,0,0.42,0.33,0.08,1700,622.23,0,12
5040.84,1,224.51,224.51,694.28,0.92,0,0.83,13000,1885.94,0,12
3661.05,1,764,248.55,1203.32,0.17,0.17,0.17,9000,872.24,0,12
910.68,1,0,0,1435.31,0,0,0,1500,1687.98,0.08,12
779.5,1,689.4,0,0,1,0.82,0,7000,1663.03,0,12
245.2,1,2241.84,0,0,0.92,0.82,0,6000,2033.3,0.2,12
1279.31,1,2071.7,0,2684.14,0.5,0.5,0,2500,2792.08,0.25,12
57.86,0.78,579,579,0,0.25,0,0.25,5000,2124.55,0.43,12
1200.44,1,886.56,225,0,1,0.82,0.25,1200,1118.71,0,12
1152.71,1,1392,330,0,1,0.25,1,9500,1147.37,0,12
2767.25,1,0,0,993.85,0,0,0,6000,790.44,0,12
3013.58,1,0,0,218.09,0,0,0,3000,729.04,0,12
363.34,0.82,665.86,430.88,0,0.83,0.75,0.75,4000,1734.89,0.09,12
4657.48,1,237.52,0,1271.94,0.25,0.25,0,4500,1613.85,0,12
341.46,1,2091.44,848.54,0,1,0.5,1,3000,2252.25,0.08,12
5040.84,1,0,0,2678.77,0,0,0,8000,2020.91,0,12
5040.84,1,265,0,2830.97,0.09,0.09,0,13850,4250.02,0,12
5040.84,1,280,280,2830.97,1,0,0.92,11000,1713.58,0,12
4359.13,1,0,0,647.54,0,0,0,4500,972.4,0,12
18.9,0.78,212.5,212.5,0,0.33,0,0.25,1000,275.06,0.36,12
325.47,1,2799.9,1210.37,92.36,1,0.82,0.92,3000,3117.12,0.43,12
162.91,0.78,1600,1210.37,0,0.67,0,0.67,6000,2733.15,0.43,12
80.36,0.91,2370.44,1210.37,0,1,0.08,1,1500,2373.36,0.43,12
5040.84,1,246.56,0,2830.97,0.25,0.25,0,12000,2294.48,0,12
5040.84,1,2799.9,490.66,0,1,0.82,0.58,7500,3376.38,0,12
319.39,1,1674.9,985.67,0,1,0.82,0.83,7500,1907.8,0.08,12
61.98,0.82,401.63,0,0,0.5,0.5,0,6000,806.59,0.2,12
5040.84,1,0,0,2830.97,0,0,0,11000,1648.39,0,12
661.14,1,568.81,427.12,618.55,0.75,0.08,0.67,1700,239.76,0,12
130.98,1,527,112,0,0.42,0.25,0.08,7500,493.09,0.3,12
831.4,0.78,0,0,2830.97,0,0,0,3500,4250.02,0.36,12
2153.5,1,2799.9,1210.37,2399.57,1,0.5,1,12500,4059.38,0.08,12
5040.84,1,968.26,233.94,2830.97,0.92,0.82,0.42,9500,2016.61,0,12
148.83,0.78,2799.9,0,47.49,0.58,0.58,0,13850,4250.02,0.43,12
15.73,1,163.24,108.24,0,1,0.08,1,1200,179.84,0.17,12
177.27,0.78,429.88,0,0,0.25,0.25,0,7000,1590.95,0.25,12
20.93,0.78,295.32,295.32,0,0.33,0,0.33,3000,315.3,0.18,12
920.87,0.89,296.64,166.64,944.09,0.56,0.11,0.33,1200,119.37,0,12
4240.45,1,2798.36,0,48.46,0.43,0.43,0,4500,539.23,0,12
4427.99,1,1039.49,163,621.99,1,0.67,0.83,11500,1110.45,0,12
187.21,1,1807.08,840,0,1,0.42,0.92,10000,1681.19,0.43,12
5040.84,1,0,0,2034.05,0,0,0,12000,2428.85,0,12
1186.93,1,2178,631.5,0,1,0.82,0.33,7000,2565.25,0,12
85.05,1,1244.7,225.72,1073.64,1,0.82,0.58,13850,2327,0.43,12
2054.37,1,833.28,833.28,0,1,0,1,4000,1020.78,0,12
60.84,0.78,1151.45,1151.45,0,0.42,0,0.33,4000,1499.86,0.1,12
1438.47,1,0,0,88.41,0,0,0,1500,298.44,0,12
5040.84,1,0,0,965.73,0,0,0,13500,1684.8,0,12
746.69,1,615.2,615.2,0,1,0,0.92,1000,1693.12,0.08,12
4183.88,1,353.75,353.75,2830.97,0.83,0,0.83,9000,4250.02,0,12
1140.79,1,2796.54,700.05,0,0.83,0.17,0.75,4500,2139.87,0,12
281.47,1,2500.03,329.77,0,0.92,0.82,0.42,12000,2463.04,0.43,12
73.51,1,890.45,0,0,1,0.82,0,8500,999.61,0.36,12
2297.7,1,2764,174,284.18,0.42,0.25,0.25,6000,651.89,0,12
1064.04,0.9,55.52,55.52,0,0.4,0,0.3,4000,2427.69,0,12
2792.53,1,2799.9,0,0,0.42,0.42,0,8500,4250.02,0,12
606.25,0.91,2799.9,1210.37,914.84,0.83,0.17,0.75,6500,1745.67,0.09,12
65.25,0.78,1027.41,0,0,0.25,0.25,0,6000,1558.23,0.43,12
73.53,0.78,1185.3,524,215.95,0.33,0.17,0.25,2500,1558.33,0.18,12
23.96,0.78,186.05,0,0,0.42,0.42,0,13850,410.8,0.43,12
4098.22,1,0,0,1665.3,0,0,0,7500,922.09,0,12
1916.47,1,380,380,0,0.5,0,0.42,8500,577.25,0,12
21.64,1,191.7,191.7,0,0.67,0,0.67,7000,3692.25,0,12
841.4,1,860.2,595.85,0,0.75,0.17,0.67,13850,1198.79,0,12
3857.75,1,777.92,386.47,274.02,1,0.08,1,6500,4250.02,0,12
1920.23,1,167.08,0,132.9,0.17,0.17,0,2300,625.53,0,12
304.66,1,2601.67,93.1,0,0.67,0.58,0.08,4000,2875.01,0.17,12
1.75,0.78,0,0,390.93,0,0,0,3000,704.79,0.43,12
1.6,0.78,188,0,149.17,0.08,0.08,0,3000,356.47,0,12
5040.84,1,148.29,0,2830.97,0.08,0.08,0,9000,2299.22,0,12
198.31,0.91,487.61,0,0,0.17,0.17,0,3000,90.17,0,12
2712.18,1,0,0,1835.81,0,0,0,3000,659.76,0,12
14.43,1,237.48,237.48,0,1,0,1,2500,216.92,0.43,12
1376.24,1,0,0,501.21,0,0,0,1500,685.23,0,12
164.68,1,622.9,0,464.88,0.55,0.55,0,3000,825.93,0.1,12
2837.11,1,0,0,99.97,0,0,0,8000,660.78,0,12
931.05,1,494,50,0,0.33,0.25,0.08,4000,415.14,0,12
438.75,1,1252.1,195,0,1,0.82,0.42,6500,867.53,0,12
364.4,1,1087.66,526.6,0,0.92,0.58,0.83,3000,763.74,0,12
2135.37,1,0,0,1884.67,0,0,0,3000,565.66,0,12
27.16,1,554.35,89.72,0,1,0.82,0.17,3000,446.72,0.27,12
468.69,1,2799.9,918.68,0,1,0.42,1,12000,4250.02,0.43,12
1080.96,1,386.78,0,2208.47,0.33,0.33,0,2600,3078.37,0.09,12
2849.47,1,574.92,574.92,0,1,0,1,2500,3909.15,0,12
584.29,0.82,0,0,918.15,0,0,0,1000,1029.19,0.12,12
3304.83,1,2577.7,0,0,0.58,0.58,0,5000,1411.39,0,12
39.67,1,265.92,265.92,0,0.92,0,0.92,2000,295.68,0.36,12
83.28,0.78,899.73,0,0,0.33,0.33,0,8000,1846.83,0.43,12
227.64,1,2799.9,1210.37,0,1,0.67,0.92,8000,2597.77,0.36,12
928.67,1,0,0,1148.99,0,0,0,1000,1374.84,0,12
57.76,0.78,454.2,454.2,0,0.5,0,0.42,10500,712.99,0.25,12
116.63,1,533.99,355.19,0,0.92,0.5,0.67,4000,606.89,0,12
5040.84,1,0,0,2830.97,0,0,0,12000,1919.11,0,12
4007.32,1,2799.9,1210.37,513.29,1,0.5,1,6000,4250.02,0,12
972.67,1,2799.9,1210.37,0,1,0.82,1,9000,4250.02,0.43,12
697.53,1,462.38,416.73,345.33,0.5,0.08,0.5,1000,134.94,0,12
4279.15,1,1006.17,0,0,0.3,0.3,0,7500,836.92,0,12
920.92,1,1227.93,768.38,0,0.92,0.17,0.92,8500,2219.82,0,12
3308.15,1,2799.9,1210.37,2567.22,0.92,0.08,0.83,3000,3396.56,0,12
19.95,0.78,170,0,0,0.08,0.08,0,6500,734.61,0.43,12
868.98,0.82,1104.65,0,1180.07,0.42,0.42,0,1800,1962.56,0,12
0,0.78,0,0,39.61,0,0,0,7500,231.08,0,12
311.36,0.82,2283.07,0,0,0.67,0.67,0,9000,2395.55,0.43,12
21.99,0.78,568.78,360,0,0.42,0.08,0.33,3800,1448.57,0,12
1245.89,1,2799.9,1210.37,0,0.83,0.5,0.75,4500,4250.02,0.1,12
867.44,1,2799.9,1210.37,0,1,0.82,0.67,4000,4250.02,0.43,12
5040.84,1,1945.95,1210.37,2830.97,0.83,0,0.83,12000,3732.92,0,12
31.97,0.78,94.53,0,0,0.08,0.08,0,2100,114.61,0,12
112.97,1,0,0,152.48,0,0,0,6000,552.94,0,12
1337.16,1,2799.9,1210.37,0,0.75,0.08,0.67,7500,3394.95,0.08,12
1738.55,1,0,0,90.2,0,0,0,1800,440.34,0,12
449.56,0.78,143,0,1135.03,0.08,0.08,0,5000,4250.02,0,12
1227.55,1,322,322,0,0.58,0,0.58,1000,133.36,0,12
48.21,1,403.1,0,0,0.67,0.67,0,7000,341.2,0.43,12
58.95,1,2074.57,1076.4,0,0.92,0.58,0.5,6000,1694.49,0.33,12
1367.48,0.82,2799.9,1210.37,0,0.75,0,0.75,13850,4250.02,0.43,12
2920.39,1,2673.73,1210.37,2830.97,1,0.33,1,13850,3319.33,0,12
5040.84,1,479.98,0,2830.97,0.08,0.08,0,10500,2373.48,0,12
1887.12,1,2450.73,1000,0,0.58,0.17,0.42,4200,1534.32,0,12
67.32,1,685.15,117.5,0,1,0.82,0.42,9000,526.12,0.3,12
912.86,1,831.03,738.03,0,0.57,0.29,0.71,5500,95.68,0,12
961.39,1,2799.9,791.8,0,1,0.82,0.75,11000,1907,0,12
1455.85,1,592.82,142.33,433.6,0.75,0.33,0.5,1500,1227,0,12
44.69,0.78,679,59,0,0.33,0.08,0.17,3750,717.93,0.3,12
5040.84,1,220.74,220.74,2830.97,0.25,0,0.17,10500,2070.71,0,12
2337.71,1,773.7,0,0,0.83,0.82,0,9500,1004.76,0,12
619.38,1,2799.9,200.84,0,1,0.82,0.5,7000,4250.02,0.43,12
1168.01,1,539,500,0,0.55,0.09,0.45,8500,946.11,0,12
556.36,1,1111.12,1111.12,0,0.83,0,0.83,2500,1248.4,0,12
5040.84,1,2799.9,492.3,0,1,0.82,0.58,13850,4250.02,0.17,12
1.2,0.91,317.02,167.05,0,0.92,0.75,0.67,6000,304.64,0,12
2492.99,1,74.5,74.5,751.6,0.08,0,0.08,2500,1577.51,0,12
5040.84,1,0,0,2830.97,0,0,0,13850,3967.89,0,12
4116.87,1,0,0,2830.97,0,0,0,10500,4250.02,0.1,12
1117.37,1,972.38,972.38,0,1,0,1,1900,667.05,0,12
5040.84,0.91,942.68,0,2432.71,0.18,0.18,0,9000,4250.02,0,12
916.64,1,2799.9,1210.37,0,1,0.82,1,13850,4250.02,0.08,12
63.69,1,690.84,690.84,0,1,0,1,2500,676.62,0.43,12
965.61,1,215,0,0,0.25,0.25,0,1000,398.08,0,12
173.66,1,1210,1210,0,1,0,0.88,1000,977.65,0.43,12
4.38,0.78,130.24,152.24,0,0.08,0,0.08,13850,4250.02,0.43,12
1708.48,1,1406.14,413.14,0,1,0.42,0.92,6500,449.23,0,12
222.32,0.91,2417.54,708.4,0,0.75,0.33,0.5,8500,2222.49,0.43,12
465.03,1,247.36,0,2830.97,0.25,0.25,0,8500,506.37,0.25,12
5040.84,1,0,0,2830.97,0,0,0,11500,1337.06,0,12
668.1,1,2799.9,1210.37,0,1,0.82,1,7000,4250.02,0.43,12
4146.53,1,178,0,764.58,0.08,0.08,0,8500,911.11,0,12
1687.09,1,2799.9,526,0,1,0.82,0.42,8000,3606.99,0,12
1995.09,1,2799.9,934.84,0,1,0.82,0.27,7000,3348.1,0,12
1818.45,0.91,413,80,1819.48,0.45,0.18,0.27,2000,757.1,0,12
33.23,0.91,655.15,59.73,109.49,1,0.82,0.17,500,736.12,0.22,12
1060.74,0.78,0,0,2495.3,0,0,0,3000,3812.75,0.17,12
129.61,0.78,1083.04,0,0,0.33,0.33,0,5500,1958.46,0.43,12
262.11,1,2625.84,0,0,1,0.82,0,4500,2489.95,0.43,12
27.69,0.78,474.96,474.96,0,0.33,0,0.22,7500,611.4,0.43,12
294.38,1,828,828,0,0.6,0,0.5,1000,542.11,0.12,12
1895.79,1,2131.31,1210.37,0,1,0.67,0.92,5500,1095.2,0,12
2550.53,1,0,0,2830.97,0,0,0,3000,674.85,0,12
2475.66,0.91,440,0,0,0.27,0.27,0,10500,511.06,0,12
1499.2,1,2799.9,374.9,0,1,0.82,0.83,8000,2961.63,0,12
3182,0.91,2046.06,440.44,565.9,1,0.58,0.92,10400,4250.02,0,12
39.76,0.78,2799.9,1210.37,0,1,0.75,1,7500,3327.96,0.3,12
22.79,0.78,12,0,0,0.08,0.08,0,1600,119.91,0,12
2118.52,1,0,0,2830.97,0,0,0,4000,1420.26,0,12
2629.93,1,2799.9,811.12,95.28,0.92,0.82,0.42,4500,4250.02,0,12
1057.59,1,1008.3,0,0,0.92,0.82,0,1200,1083.25,0,12
180.32,1,1642.26,1195.94,47.03,1,0.25,0.83,7000,1609.27,0.43,12
2402.8,1,0,0,481.29,0,0,0,7000,3590.81,0,12
3241.29,1,1119.56,1119.56,2830.97,1,0,0.92,12500,1441.37,0,12
5040.84,1,911.56,228.56,2830.97,0.83,0.67,0.75,9000,1068.21,0,12
937.43,1,1124.88,39.25,0,0.42,0.33,0.08,2500,993.2,0,12
4804.07,1,0,0,1116.13,0,0,0,5000,1589.65,0,12
1177.13,1,2799.9,1210.37,0,1,0.82,0.5,5000,4250.02,0.42,12
4393.19,1,0,0,2830.97,0,0,0,8000,4250.02,0.09,12
1695.84,1,317.4,252.5,215.13,0.25,0.08,0.25,1800,708.7,0,12
1830.57,1,737.67,0,1781.48,0.25,0.25,0,2000,2338.78,0,12
167.51,0.82,1219,376,0,0.75,0.75,0.42,4500,1989.67,0.43,12
1075.4,1,150,0,0,0.08,0.08,0,1200,224.14,0,12
392.99,1,508.32,508.32,0,1,0,1,1500,169,0,12
136.74,1,1466.05,121.26,0,1,0.82,0.5,6000,1519.01,0.43,12
2619.75,1,2799.9,887.44,0,0.92,0.67,0.67,4500,1227.95,0,12
432.39,1,2171.86,1123.58,138.68,0.83,0.42,0.42,1200,1980.28,0,12
4.39,0.78,47.96,47.96,0,0.17,0,0.17,3000,250.2,0,12
109.68,1,2118.66,1210.37,0,0.92,0,0.92,3000,2272.08,0.43,12
632.68,1,1363.79,563.79,0,0.75,0.08,0.67,6000,2432.98,0,12
3145.2,1,2799.9,861.07,0,1,0.42,0.5,5700,1241.08,0,12
5040.84,1,0,0,468.34,0,0,0,6500,1402.59,0,12
5040.84,1,0,0,2830.97,0,0,0,5200,4250.02,0,12
3019.91,1,0,0,397.6,0,0,0,3300,626.3,0,12
26.49,1,256.44,256.44,0,0.67,0,0.67,1500,235.33,0.17,12
950.72,0.91,0,0,1304.76,0,0,0,1500,1441.71,0,12
75.01,0.78,480.02,0,0,0.08,0.08,0,1950,485.74,0,12
3156.42,1,2799.9,1024,1037.73,1,0.82,1,4000,2482.01,0,12
1229.94,1,699.96,287.49,0,0.33,0.17,0.17,2250,1333.45,0,12
1589.41,1,118.79,0,2176.94,0.42,0.42,0,4000,349.53,0,12
1106.56,1,1342.86,192.95,2830.97,0.33,0.25,0.08,6500,4250.02,0,12
588.8,0.78,2799.9,1210.37,0,0.5,0,0.5,13850,4250.02,0.43,12
4627.59,1,1774.46,0,0,0.58,0.58,0,5200,864.17,0,12
2766.56,1,1469.05,0,1585.24,0.33,0.33,0,3000,591.13,0,12
5040.84,1,118.41,0,2830.97,0.08,0.08,0,7000,1965.92,0,12
2963.24,0.78,0,0,2830.97,0,0,0,7000,4250.02,0.14,12
211.84,0.78,2176.55,1133.24,0,0.58,0.5,0.5,8000,1826.64,0.29,12
903.03,1,494.7,494.7,1111.69,0.83,0,0.83,1000,2210.46,0,12
793.71,1,1307,0,0,0.17,0.17,0,3000,1533.11,0,12
5040.84,1,2799.9,1130.01,0,1,0.82,0.58,10500,2856.17,0,12
100.9,1,1281.44,79,0,1,0.82,0.17,12000,1271.16,0.43,12
140.74,1,1547.68,88.09,0,1,0.82,0.42,7500,1157.32,0.43,12
3947.75,0.78,525.65,0,2830.97,0.33,0.33,0,10000,918.58,0,12
1981.93,1,145.8,145.8,0,0.83,0,0.75,6000,2803.93,0.08,12
975.95,1,1572.42,789.39,1910.4,1,0.58,1,1700,4024.6,0.17,12
2807.73,1,0,0,109.71,0,0,0,3000,616.42,0,12
2613.12,1,0,0,609.32,0,0,0,3000,592.14,0,12
6.58,0.78,74.49,74.49,0,0.25,0,0.17,4000,45.2,0.17,12
778.48,1,353.52,195.52,1183.48,0.67,0.08,0.58,1500,219.32,0,12
5040.84,1,2799.9,384.76,2560.21,1,0.82,0.83,9500,2055.67,0,12
1579.16,1,2799.9,1210.37,0,1,0.17,0.92,8000,1980.95,0,12
131.46,1,705.84,705.84,0,0.92,0,0.92,13500,669.59,0.43,12
1764.52,0.91,100,0,440.72,0.08,0.08,0,3000,3815.76,0.12,12
1787.54,1,0,0,2830.97,0,0,0,7500,4250.02,0,12
2769.64,1,738.06,0,1273.27,0.5,0.5,0,4500,740.45,0,12
774.71,1,462,462,864.14,1,0,1,6000,703.33,0,12
4533.07,1,0,0,256.72,0,0,0,8000,1588.74,0,12
3044.19,1,934.21,822.21,75.71,0.75,0.08,0.67,3000,1268.7,0,12
1101.09,1,0,0,164.84,0,0,0,1200,270.96,0,12
18.22,0.78,89,89,0,0.08,0,0.08,4000,1095.92,0.43,12
7.47,0.78,80,80,0,0.17,0,0.08,3000,168.89,0.09,12
1258.08,1,1242.46,463.85,1145.72,1,0.5,1,4500,3169.47,0.08,12
497.79,1,114.54,0,1573.65,0.08,0.08,0,1000,2060.33,0.17,12
5040.84,1,0,0,2830.97,0,0,0,9000,1824.24,0,12
843.36,1,45,0,0,0.08,0.08,0,2000,304.41,0,12
1080.67,1,2799.9,1210.37,135.4,1,0.42,1,6500,2571.28,0.17,12
2945.29,1,185.98,130.98,0,0.42,0.08,0.33,3000,1009.98,0,12
3608.55,0.9,1664.02,43.42,2830.97,0.5,0.5,0.1,5000,1043.77,0,12
1209.73,1,1298.56,1128.66,0,1,0.08,1,1200,1558.81,0,12
21.66,1,271.86,241.86,0,1,0.08,0.92,4000,263.92,0.43,12
27.83,1,366.6,366.6,0,1,0,1,5000,364.83,0.25,12
1247.38,1,405.5,267,0,0.5,0.17,0.42,6500,1131.61,0,12
1052.13,1,354.48,354.48,0,1,0,1,1000,571.42,0,12
110.4,1,486.72,486.72,0,1,0,0.92,1000,278.44,0.1,12
3232.35,1,0,0,172.06,0,0,0,3500,664.72,0,12
498.36,1,2434.7,1210.37,0,1,0.42,1,4500,4242.38,0.25,12
2774.25,1,2799.9,0,1771.82,1,0.82,0,13000,4250.02,0.43,12
2332.39,1,306.36,306.36,0,0.25,0,0.17,7000,670.38,0,12
3630.77,1,0,0,2830.97,0,0,0,9000,4250.02,0.09,12
4676.58,1,453.64,453.64,1984.01,0.33,0,0.33,8000,1274.3,0,12
